px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.1693	-6.85214	-2.75658	-2.64273	-0.456661	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.556355
7.26555	-6.73423	-2.73632	-2.59893	-0.35446	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	9.04654
7.38877	-6.64018	-2.74033	-2.60792	-0.344779	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.404126
7.53304	-6.60015	-2.75548	-2.671	-0.413972	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	4.42188
7.65584	-6.52567	-2.76144	-2.68485	-0.407386	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.204581
7.77675	-6.44079	-2.75319	-2.68191	-0.371807	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.24869
7.90495	-6.37158	-2.74851	-2.69869	-0.36894	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.153638
8.03057	-6.2939	-2.74148	-2.69801	-0.33797	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.903009
8.16268	-6.2144	-2.74519	-2.70708	-0.329146	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.291143
8.25552	-6.11417	-2.72634	-2.66381	-0.242287	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	7.0778
8.37101	-6.03218	-2.73055	-2.66395	-0.231268	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.463343
8.51803	-5.97864	-2.74031	-2.70168	-0.269621	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	1.64112
8.65487	-5.90547	-2.74478	-2.71114	-0.264516	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0995918
8.76063	-5.7993	-2.72518	-2.66408	-0.174642	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	7.86398
8.88827	-5.71345	-2.72822	-2.66286	-0.164678	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.33711
8.98688	-5.61794	-2.71529	-2.62437	-0.0960473	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	4.53262
9.09755	-5.53174	-2.71769	-2.61704	-0.0850241	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.44886
9.23678	-5.47087	-2.72539	-2.64843	-0.128116	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.00798
9.36486	-5.38557	-2.72873	-2.6465	-0.119933	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.222506
9.46276	-5.27077	-2.71018	-2.5915	-0.0313964	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	7.45618
9.58441	-5.18046	-2.71167	-2.58515	-0.0240673	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.18288
9.68897	-5.07432	-2.70002	-2.54349	0.039937	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	4.13638
9.80376	-4.97824	-2.70009	-2.53269	0.0477044	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.229519
9.90189	-4.86286	-2.69031	-2.48559	0.112423	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	3.75344
10.0103	-4.76569	-2.68714	-2.47361	0.117657	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.177469
10.0954	-4.63691	-2.67772	-2.41568	0.190099	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	4.33097
10.1952	-4.52055	-2.68005	-2.39305	0.200944	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.414364
10.2815	-4.39332	-2.67641	-2.34721	0.248668	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	1.85086
10.379	-4.26325	-2.68617	-2.31994	0.26034	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	0.564022
10.4972	-4.16934	-2.69196	-2.33183	0.222649	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	1.21809
10.5885	-4.03845	-2.69837	-2.30515	0.235064	10.5415	-3.9454	10.55	-3.95	1.8179	1.8179	0.599768
10.6856	-3.9233	-2.69989	-2.28815	0.24019	10.7092	-3.85166	10.65	-3.85	1.81903	1.81904	0.0651866
